"Region","year","mean","count","sd","se"
"South",1959,7.27143033016973,1566,2.240966056892,0.0566290661152184
"South",1960,7.32612188057082,1566,2.56283840153143,0.064762759273662
"South",1961,6.67999902528861,1566,2.01166550356142,0.0508346560861695
"South",1962,7.12137257504413,1566,2.23831801875614,0.0565621503642147
"South",1963,6.92093715668881,1566,2.72590066840913,0.0688833321237129
"South",1964,7.67742412700571,1566,2.52515337910796,0.0638104612146135
"South",1965,7.09697555785921,1566,2.36219439604079,0.0596924983397192
"South",1966,6.03595302923906,1566,1.90439752434034,0.0481240012466307
"South",1967,7.28345156666262,1566,2.16242684282211,0.0546443852975315
"South",1968,6.1496193437585,1566,2.41747883651255,0.0610895325451189
"South",1969,5.71598967906533,1566,1.9168308463461,0.0484381904828891
"South",1970,7.60873919814339,1566,3.09083785199242,0.0781052709538357
"South",1971,7.19546830714895,1566,2.19457416452824,0.0554567460205887
"South",1972,8.00351551039768,1566,2.11179330663952,0.0533648791402148
"South",1973,7.3454867141243,1566,1.79562647796308,0.0453753639980763
"South",1974,9.06710114837673,1566,1.78097458682731,0.0450051116645842
"South",1975,9.00036076517211,1566,2.3082931306514,0.0583304168784482
"South",1976,9.47167777327367,1566,2.64520891342202,0.0668442567374237
"South",1977,6.05502225916328,1566,3.16262538556145,0.0799193372455703
"South",1978,7.32862729653167,1566,3.69140429720461,0.0932815458589858
"South",1979,7.06173451901769,1566,2.85931630372562,0.0722547365275885
"South",1980,6.65477488123237,1566,2.32193208753801,0.0586750724295215
"South",1981,6.19320881724813,1566,2.34097227247681,0.0591562166612376
"South",1982,6.88521356628017,1566,2.56842307401884,0.0649038835832198
"South",1983,8.6109662466221,1566,2.3542989147683,0.0594929800428595
"South",1984,7.73533491494295,1566,2.32765620417929,0.0588197204837538
"South",1985,7.23291211893002,1566,2.39988851260362,0.0606450262070763
"South",1986,8.01970982891683,1566,2.68412174049196,0.0678275813398184
"South",1987,7.24957857385381,1566,2.61598258430231,0.0661057093065354
"South",1988,7.22916935336768,1566,2.63316197522179,0.0665398313947334
"South",1989,7.2975719465031,1566,2.29282051897682,0.0579394249904632
"South",1990,8.69028930393305,1566,2.23415627277214,0.0564569833146031
"South",1991,8.26757525736343,1566,1.81076987771312,0.0457580367221977
"South",1992,8.75184360919302,1566,2.7941237598129,0.0706073251943831
"South",1993,6.34295478986846,1566,1.64126744479315,0.0414747212962479
"South",1994,6.44856041600703,1566,2.04821597823024,0.0517582841974465
"South",1995,8.10024268434974,1566,2.17998026832621,0.0550879592152904
"South",1996,6.13243620228514,1566,2.20257344184201,0.0556588872366426
"South",1997,8.47684107047817,1566,2.16890675384762,0.054808132226565
"South",1998,7.3226783627077,1566,1.29943395951865,0.0328366114157027
"South",1999,8.18887160908513,1566,2.24887132181257,0.0568288316442271
"South",2000,7.97352047460327,1566,1.9350235584279,0.048897919130776
"South",2001,7.21550446038102,1566,2.05313601383411,0.0518826131763009
"South",2002,9.79474152616162,1566,1.94447092774204,0.0491366535372431
"South",2003,6.77195717120667,1566,1.74488814449318,0.0440932096201434
"South",2004,6.14379962666984,1566,1.58163996372262,0.0399679387381443
"South",2005,6.28011960382719,1566,1.82218255689174,0.0460464343807744
"South",2006,8.95167208722619,1566,2.13820751984155,0.0540323645852527
"South",2007,7.98176901898087,1566,1.93124072470918,0.0488023271693978
"South",2008,9.28322885026941,1566,2.32417564014506,0.0587317668575905
"South",2009,7.58853301719889,1566,2.37622282481679,0.060046995820038
"South",2010,6.35328792031888,1566,1.86974282468325,0.0472482792462689
"South",2011,7.27489077648629,1566,2.20281857336267,0.0556650816941838
"South",2012,9.98749400151737,1566,1.51340512913769,0.0382436489180521
"South",2013,7.96178156272524,1566,2.18956478921096,0.0553301594330028
"South",2014,7.71972274886495,1566,2.16379608609208,0.0546789859856699
"South",2015,6.78847323688885,1566,2.34923346249151,0.0593649763941635
"South",2016,9.31229917166558,1566,2.20019630620205,0.0555988171740434
"South",2017,8.54791561262919,1566,1.68796927907733,0.0426548736029939
"South",2018,7.72787197548937,1566,2.0809931030244,0.0525865600034663
"South",2019,7.41606854060998,1566,2.48475418518309,0.0627895762187265
"South",2020,9.17834546603006,1566,1.78754895992896,0.0451712456441217
"South",2021,8.2722487836232,1566,2.20744112875435,0.055781893367476
"South",2022,8.82466738485715,1566,2.56466502101713,0.0648089178289446
